name_or_code,code,count,sample1
MM,MM,41756,"For some, their rage springs from a communion with fierce animal spirits. Others draw from a roiling reservoir of anger at a world full of pain. For every barbarian, rage is a power that fuels not just a battle frenzy but also uncanny reflexes, resilience, and feats of strength."
UA,UA,28073,"Barbarians come alive in the chaos of combat. They can enter a berserk state where rage takes over, giving them superhuman strength and resilience. A barbarian can draw on this reservoir of fury only a few times without resting, but those few rages are usually sufficient to defeat whatever threats arise.</text>"
DMG,DMG,22517,"In addition, roll once on the Indefinite Madness table (DMG p. 260). You are afflicted with that madness and it cannot be cured."
Player's Handbook,PHB,11795,Source:	Player's Handbook (2014) p. 46</text>
Dungeon Master's Guide,DMG,3611,"Desert. You gain resistance to fire damage, and you don't suffer the effects of extreme heat, as described in the Dungeon Master's Guide. Moreover, as an action, you can touch a flammable object that isn't being worn or carried by anyone else and set it on fire."
Fizban's Treasury of Dragons,FTD,1367,Source:	Fizban's Treasury of Dragons p. 13</text>
"Dungeon Master's Guide (2014) p. 213,",DMG,1324,"Dungeon Master's Guide (2014) p. 213,"
Eberron: Rising from the Last War,ERLW,1056,"Source:	Eberron: Rising from the Last War p. 54,"
"Fizban's Treasury of Dragons p. 25,",FTD,1039,"Fizban's Treasury of Dragons p. 25,"
Unearthed Arcana,UA,918,Source:	Unearthed Arcana: Barbarian Primal Paths p. 1</text>
Monster Manual,MM,911,"<text>At 6th level, your spores gain the ability to infest a corpse and animate it. If a beast or a humanoid that is Small or Medium dies within 10 feet of you, you can use your reaction to animate it, causing it to stand up immediately with 1 hit point. The creature uses the zombie stat block in the Monster Manual. It remains animate for 1 hour, after which time it collapses and dies."
Xanathar's Guide to Everything,XGE,875,<name>Xanathar's Guide to Everything</name>
Explorer's Guide to Wildemount,EGW,827,Source:	Explorer's Guide to Wildemount p. 183</text>
The Book of Many Things,BOMT,670,Source:	The Book of Many Things p. 50</text>
Tasha's Cauldron of Everything,TCE,646,Source:	Tasha's Cauldron of Everything p. 24</text>
Baldur's Gate: Descent into Avernus,BG:DA,468,"Source:	Baldur's Gate: Descent Into Avernus p. 223,"
Volo's Guide to Monsters,VGM,370,"Volo's Guide to Monsters p. 116,"
"Dungeon Master's Guide (2014) p. 152,",DMG,349,"Dungeon Master's Guide (2014) p. 152,"
Critical Role: Call of the Netherdeep,CR:CN,323,"Source:	Critical Role: Call of the Netherdeep p. 216,"
Acquisitions Incorporated,AI,318,Source:	Acquisitions Incorporated p. 75</text>
Mordenkainen's Tome of Foes,MTF,308,Source:	Mordenkainen's Tome of Foes p. 64</text>
Ghosts of Saltmarsh,GoS,295,Source:	Ghosts of Saltmarsh p. 229</text>
Icewind Dale: Rime of the Frostmaiden,ID:RF,258,Source:	Icewind Dale: Rime of the Frostmaiden p. 318</text>
"Dungeon Master's Guide (2014) p. 209,",DMG,257,"Dungeon Master's Guide (2014) p. 209,"
"Xanathar's Guide to Everything p. 78,",XGE,239,"Xanathar's Guide to Everything p. 78,"
"Monster Manual (2014) p. 126,",MM,232,"Monster Manual (2014) p. 126,"
"Acquisitions Incorporated p. 149,",AI,208,"Acquisitions Incorporated p. 149,"
"The Book of Many Things p. 39,",BOMT,208,"The Book of Many Things p. 39,"
"Critical Role: Call of the Netherdeep p. 216,",CR:CN,208,"Critical Role: Call of the Netherdeep p. 216,"
"Explorer's Guide to Wildemount p. 266,",EGW,208,"Explorer's Guide to Wildemount p. 266,"
"Explorer's Guide to Wildemount p. 270,",EGW,208,"Explorer's Guide to Wildemount p. 270,"
"Baldur's Gate: Descent Into Avernus p. 223,",BG:DA,207,"Baldur's Gate: Descent Into Avernus p. 223,"
Bigby Presents: Glory of the Giants,BP:GOG,200,Source:	Bigby Presents: Glory of the Giants p. 11</text>
Mythic Odysseys of Theros,MOT,200,Mythic Odysseys of Theros p. 28</text>
Sword Coast Adventurer's Guide,SCAG,184,Source:	Sword Coast Adventurer's Guide p. 141</text>
